"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.61838222448634e-224,1.88651970371834,0.353,0.103,8.45344701175415e-220,"0","Sema4c"
1.06115965121099e-223,2.13924390253948,0.279,0.066,3.42595393393467e-219,"0","Endod1"
2.07649681111194e-223,1.62457912202144,0.355,0.104,6.70396995467489e-219,"0","Tifa"
3.08120998620545e-223,1.43743373569513,0.443,0.155,9.9476864404643e-219,"0","Nav1"
1.5553916018554e-222,2.12495661619295,0.271,0.062,5.02158178659017e-218,"0","Mpzl1"
9.54186126694285e-219,2.15590541222051,0.308,0.082,3.0805899100325e-214,"0","Fez2"
1.94289116454953e-218,1.71040348255061,0.37,0.114,6.27262412474815e-214,"0","Hdac7"
2.82496409453091e-218,2.01406496937988,0.291,0.072,9.12039657919305e-214,"0","Spry4"
6.54608207111849e-218,1.66164735387339,0.308,0.079,2.1134025966606e-213,"0","Pde2a"
2.23799780371666e-217,2.09921278204742,0.273,0.064,7.22537590929922e-213,"0","Abcg2"
7.2460312312623e-216,1.16622351012664,0.546,0.223,2.33938118301303e-211,"0","Ablim1"
4.5975254059932e-215,1.39724267130681,0.423,0.142,1.4843110773249e-210,"0","S100a16"
2.02011979494124e-214,2.27607199488726,0.29,0.075,6.52195675796779e-210,"0","Cdc42ep2"
9.51991649587043e-213,1.38369213494783,0.43,0.146,3.07350504069177e-208,"0","Prss23"
2.15836067249808e-211,1.48338561744905,0.483,0.193,6.96826743116004e-207,"0","Mapk3"
1.62651732771768e-210,1.33964499043123,0.624,0.322,5.25121119253652e-206,"0","Sbno2"
2.22053974474908e-209,1.13354831953448,0.674,0.367,7.1690125659224e-205,"0","Ppp1r2"
5.41167072695033e-209,2.04107964473135,0.324,0.094,1.74715789419591e-204,"0","Cdc42ep4"
1.20909226394252e-208,0.995871168968407,0.809,0.509,3.90355437413844e-204,"0","Atf3"
3.0859767272104e-207,2.12509391190435,0.267,0.064,9.96307586379877e-203,"0","Git1"
9.41519024212591e-207,2.07061439231513,0.254,0.058,3.03969416967035e-202,"0","Map3k11"
1.27903067080163e-206,1.0374420095125,0.885,0.697,4.12935052068305e-202,"0","Nfkbia"
1.39765233458784e-203,1.2557416694216,0.558,0.248,4.51232056221684e-199,"0","Arhgef12"
4.95637309051804e-203,1.56021580391928,0.415,0.15,1.60016505227375e-198,"0","Rras"
8.910406181314e-202,1.32882197334723,0.509,0.211,2.87672463563723e-197,"0","Rhoj"
9.39394577069194e-201,2.40423971365338,0.435,0.181,3.03283539206789e-196,"0","Slc6a6"
9.99000500973447e-201,1.31409146000424,0.604,0.308,3.22527311739277e-196,"0","Tmod3"
3.5869867638101e-200,1.54143807339661,0.487,0.206,1.15805867669609e-195,"0","Bnip2"
1.23725923030978e-199,1.30140888091988,0.494,0.199,3.99449142505514e-195,"0","Cnn3"
1.2163400222884e-198,1.56752533859041,0.51,0.226,3.92695376195809e-194,"0","Rhoc"
1.62668915736991e-198,2.02369598573004,0.266,0.066,5.25176594456877e-194,"0","Smco4"
3.58366511138899e-198,1.2180505021596,0.651,0.361,1.15698628121194e-193,"0","Clic1"
5.40899022750737e-197,1.06477315108369,0.598,0.275,1.74629249495075e-192,"0","Cxcl12"
6.22953228457286e-197,0.687057148124342,0.943,0.846,2.01120449807435e-192,"0","Ubc"
7.28818543268328e-197,2.45486180401876,0.25,0.061,2.3529906669418e-192,"0","Jam3"
7.69082089698762e-197,1.62888860748601,0.364,0.121,2.48298152659245e-192,"0","Sptlc2"
5.67889791625564e-196,1.49146474172436,0.486,0.204,1.83343219226313e-191,"0","Ifi203"
4.86247474173929e-195,1.04195967549263,0.635,0.313,1.56984997037053e-190,"0","Utrn"
4.87926580562632e-195,1.97090796282673,0.295,0.083,1.57527096534646e-190,"0","Tmem184b"
6.27959050277856e-195,1.55257064106198,0.435,0.168,2.02736579382206e-190,"0","Mylip"
7.08628475048341e-193,0.641743001201343,0.365,0.116,2.28780703169357e-188,"0","Fabp5"
1.51892412910272e-191,0.631742555147896,0.636,0.297,4.90384655080813e-187,"0","Mef2c"
3.60617715803414e-191,1.75874687550453,0.279,0.073,1.16425429547132e-186,"0","Chst15"
8.60572578631324e-191,1.46467893880765,0.399,0.141,2.77835857011123e-186,"0","Syne2"
3.10507255208585e-190,1.57588996630826,0.441,0.177,1.00247267344092e-185,"0","Lgals9"
5.4947232442049e-190,1.54090609820186,0.361,0.119,1.77397139939155e-185,"0","Cds2"
2.39671095033228e-189,1.24819710753857,0.465,0.179,7.73778130314778e-185,"0","Fbln2"
3.5632774387346e-188,0.84631598957319,0.765,0.474,1.15040412109547e-183,"0","Sdcbp"
8.25378981396435e-187,1.54851699717884,0.375,0.133,2.66473604143839e-182,"0","Pdlim5"
8.43212332707672e-187,0.795151015769199,0.973,0.911,2.72231101614672e-182,"0","Hspa8"
8.49842685343536e-187,1.80152720536787,0.303,0.089,2.7437171096316e-182,"0","Crybg3"
2.26438450427158e-185,1.21629998280134,0.651,0.37,7.31056537204081e-181,"0","Elf1"
2.5981208976933e-185,1.75895670308234,0.321,0.099,8.38803331820281e-181,"0","Snai1"
1.28066671545132e-184,1.57469724947364,0.328,0.103,4.13463249083458e-180,"0","Plat"
4.02050773877789e-184,1.86009233101932,0.343,0.115,1.29802092346444e-179,"0","Cdipt"
1.06635815854685e-183,1.7379191773179,0.292,0.084,3.44273731486851e-179,"0","Fam129b"
4.58784082624105e-183,1.60013133876216,0.327,0.102,1.48118441075192e-178,"0","Scn1b"
4.92785858696702e-183,1.44383996590069,0.379,0.132,1.5909591448023e-178,"0","Plk3"
7.20427657684459e-183,0.913671048255461,0.794,0.554,2.32590069283428e-178,"0","Serinc3"
1.63164448268904e-182,1.62108297259138,0.409,0.158,5.26776421236156e-178,"0","Oaz2"
2.88806662511082e-182,1.01046740332168,0.615,0.3,9.32412309917028e-178,"0","Rbpms"
3.32654966598104e-182,1.20643743570663,0.611,0.322,1.07397655966198e-177,"0","Fkbp1a"
